Region,Order ID,Current State,Action,Reward,Next State,Done
Gomti Nagar,1,"{'Restaurant Cell': (3, 18), 'Customer Cell': (9, 11), 'Preparation Time (mins)': 13, 'Expected Delivery Time (mins)': 32, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",Accept,13.0,"{'Restaurant Cell': (3, 18), 'Customer Cell': (9, 11), 'Preparation Time (mins)': 13, 'Expected Delivery Time (mins)': 32, 'Distance to Depot': 10, 'Distance to Restaurants': [21, 14, 12, 23, 12, 8, 12, 38, 24, 12, 10, 17, 14, 9, 5, 21, 26, 5, 12, 5, 23, 3, 14, 23, 8, 11, 24, 32, 5, 15, 25, 25, 14, 16, 38, 26, 6, 18, 21, 29, 17, 30, 8, 14, 13, 25, 8, 13, 21, 16, 5, 23, 19, 20, 19, 8, 41, 29, 8, 23, 7, 29, 18, 2, 16, 32, 3, 18, 43, 18, 28, 14, 13, 4, 16, 11, 10, 32, 20, 26, 14, 27, 12, 15, 24, 8, 18, 7, 12, 35, 13, 11, 22, 27, 17, 27, 8, 20, 17, 41, 9, 6, 24, 11, 10, 2, 30, 16, 8, 28, 15, 16, 13, 20, 22, 11, 15, 20, 18, 9, 18, 13, 13, 24, 33, 31, 19, 27, 24, 33, 6, 38, 6, 26, 3, 34, 24, 27, 10, 18, 20, 38, 27, 14, 18, 19, 14, 29, 14, 8, 40, 40, 19]}",False
Gomti Nagar,2,"{'Restaurant Cell': (23, 26), 'Customer Cell': (4, 13), 'Preparation Time (mins)': 11, 'Expected Delivery Time (mins)': 74, 'Distance to Depot': 10, 'Distance to Restaurants': [21, 14, 12, 23, 12, 8, 12, 38, 24, 12, 10, 17, 14, 9, 5, 21, 26, 5, 12, 5, 23, 3, 14, 23, 8, 11, 24, 32, 5, 15, 25, 25, 14, 16, 38, 26, 6, 18, 21, 29, 17, 30, 8, 14, 13, 25, 8, 13, 21, 16, 5, 23, 19, 20, 19, 8, 41, 29, 8, 23, 7, 29, 18, 2, 16, 32, 3, 18, 43, 18, 28, 14, 13, 4, 16, 11, 10, 32, 20, 26, 14, 27, 12, 15, 24, 8, 18, 7, 12, 35, 13, 11, 22, 27, 17, 27, 8, 20, 17, 41, 9, 6, 24, 11, 10, 2, 30, 16, 8, 28, 15, 16, 13, 20, 22, 11, 15, 20, 18, 9, 18, 13, 13, 24, 33, 31, 19, 27, 24, 33, 6, 38, 6, 26, 3, 34, 24, 27, 10, 18, 20, 38, 27, 14, 18, 19, 14, 29, 14, 8, 40, 40, 19]}",Reject,-1.8,"{'Restaurant Cell': (23, 26), 'Customer Cell': (4, 13), 'Preparation Time (mins)': 11, 'Expected Delivery Time (mins)': 74, 'Distance to Depot': 24, 'Distance to Restaurants': [39, 32, 30, 41, 14, 12, 24, 20, 40, 30, 28, 3, 32, 19, 21, 3, 38, 23, 30, 19, 27, 19, 30, 41, 26, 17, 32, 14, 21, 33, 23, 25, 32, 30, 20, 16, 24, 8, 7, 25, 35, 36, 26, 6, 31, 7, 26, 31, 3, 8, 13, 5, 37, 28, 33, 24, 25, 21, 20, 5, 21, 17, 12, 20, 12, 50, 17, 36, 25, 4, 46, 26, 31, 22, 8, 13, 18, 14, 4, 28, 24, 39, 6, 15, 6, 26, 6, 25, 30, 17, 17, 17, 40, 45, 17, 33, 26, 6, 17, 23, 13, 24, 42, 29, 24, 20, 26, 34, 24, 10, 7, 34, 11, 22, 4, 27, 11, 2, 0, 27, 36, 13, 27, 38, 15, 13, 37, 45, 36, 15, 20, 26, 16, 8, 21, 18, 18, 45, 18, 36, 38, 24, 13, 32, 36, 7, 18, 47, 32, 18, 24, 26, 15]}",False
Gomti Nagar,3,"{'Restaurant Cell': (32, 12), 'Customer Cell': (33, 31), 'Preparation Time (mins)': 12, 'Expected Delivery Time (mins)': 60, 'Distance to Depot': 24, 'Distance to Restaurants': [39, 32, 30, 41, 14, 12, 24, 20, 40, 30, 28, 3, 32, 19, 21, 3, 38, 23, 30, 19, 27, 19, 30, 41, 26, 17, 32, 14, 21, 33, 23, 25, 32, 30, 20, 16, 24, 8, 7, 25, 35, 36, 26, 6, 31, 7, 26, 31, 3, 8, 13, 5, 37, 28, 33, 24, 25, 21, 20, 5, 21, 17, 12, 20, 12, 50, 17, 36, 25, 4, 46, 26, 31, 22, 8, 13, 18, 14, 4, 28, 24, 39, 6, 15, 6, 26, 6, 25, 30, 17, 17, 17, 40, 45, 17, 33, 26, 6, 17, 23, 13, 24, 42, 29, 24, 20, 26, 34, 24, 10, 7, 34, 11, 22, 4, 27, 11, 2, 0, 27, 36, 13, 27, 38, 15, 13, 37, 45, 36, 15, 20, 26, 16, 8, 21, 18, 18, 45, 18, 36, 38, 24, 13, 32, 36, 7, 18, 47, 32, 18, 24, 26, 15]}",Reject,-2.4,"{'Restaurant Cell': (32, 12), 'Customer Cell': (33, 31), 'Preparation Time (mins)': 12, 'Expected Delivery Time (mins)': 60, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",False
Gomti Nagar,4,"{'Restaurant Cell': (6, 29), 'Customer Cell': (18, 14), 'Preparation Time (mins)': 6, 'Expected Delivery Time (mins)': 54, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",Reject,-1.8,"{'Restaurant Cell': (6, 29), 'Customer Cell': (18, 14), 'Preparation Time (mins)': 6, 'Expected Delivery Time (mins)': 54, 'Distance to Depot': 18, 'Distance to Restaurants': [33, 18, 22, 35, 0, 4, 10, 34, 34, 18, 22, 13, 26, 13, 7, 17, 32, 17, 24, 7, 21, 9, 24, 35, 20, 11, 26, 28, 15, 27, 21, 21, 26, 24, 34, 22, 18, 6, 9, 25, 29, 30, 20, 10, 25, 13, 20, 25, 11, 12, 7, 11, 31, 22, 27, 18, 37, 25, 14, 13, 7, 25, 6, 14, 4, 44, 9, 30, 39, 14, 40, 20, 25, 16, 6, 7, 12, 28, 16, 22, 18, 33, 8, 11, 20, 12, 8, 19, 24, 31, 3, 3, 34, 39, 13, 27, 12, 8, 5, 37, 3, 10, 36, 21, 18, 12, 26, 28, 10, 24, 11, 28, 3, 16, 12, 21, 3, 14, 14, 15, 30, 9, 21, 32, 29, 27, 23, 39, 30, 29, 14, 34, 6, 14, 15, 30, 20, 39, 4, 30, 32, 34, 23, 26, 22, 7, 4, 41, 26, 12, 36, 36, 7]}",False
Gomti Nagar,5,"{'Restaurant Cell': (32, 29), 'Customer Cell': (2, 15), 'Preparation Time (mins)': 13, 'Expected Delivery Time (mins)': 81, 'Distance to Depot': 18, 'Distance to Restaurants': [33, 18, 22, 35, 0, 4, 10, 34, 34, 18, 22, 13, 26, 13, 7, 17, 32, 17, 24, 7, 21, 9, 24, 35, 20, 11, 26, 28, 15, 27, 21, 21, 26, 24, 34, 22, 18, 6, 9, 25, 29, 30, 20, 10, 25, 13, 20, 25, 11, 12, 7, 11, 31, 22, 27, 18, 37, 25, 14, 13, 7, 25, 6, 14, 4, 44, 9, 30, 39, 14, 40, 20, 25, 16, 6, 7, 12, 28, 16, 22, 18, 33, 8, 11, 20, 12, 8, 19, 24, 31, 3, 3, 34, 39, 13, 27, 12, 8, 5, 37, 3, 10, 36, 21, 18, 12, 26, 28, 10, 24, 11, 28, 3, 16, 12, 21, 3, 14, 14, 15, 30, 9, 21, 32, 29, 27, 23, 39, 30, 29, 14, 34, 6, 14, 15, 30, 20, 39, 4, 30, 32, 34, 23, 26, 22, 7, 4, 41, 26, 12, 36, 36, 7]}",Reject,-1.8,"{'Restaurant Cell': (32, 29), 'Customer Cell': (2, 15), 'Preparation Time (mins)': 13, 'Expected Delivery Time (mins)': 81, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",False
Gomti Nagar,6,"{'Restaurant Cell': (25, 24), 'Customer Cell': (17, 28), 'Preparation Time (mins)': 15, 'Expected Delivery Time (mins)': 31, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",Accept,14.0,"{'Restaurant Cell': (25, 24), 'Customer Cell': (17, 28), 'Preparation Time (mins)': 15, 'Expected Delivery Time (mins)': 31, 'Distance to Depot': 15, 'Distance to Restaurants': [30, 39, 37, 32, 21, 19, 31, 13, 31, 37, 19, 8, 23, 16, 28, 8, 29, 22, 23, 26, 18, 26, 21, 32, 33, 14, 23, 7, 20, 24, 14, 16, 23, 21, 13, 7, 31, 15, 14, 16, 28, 27, 19, 11, 22, 16, 27, 28, 12, 9, 20, 14, 28, 19, 24, 17, 16, 12, 17, 14, 28, 8, 19, 27, 19, 41, 24, 27, 18, 7, 37, 17, 22, 23, 15, 14, 15, 7, 5, 19, 15, 30, 13, 10, 3, 33, 13, 22, 21, 10, 24, 24, 31, 36, 8, 24, 33, 13, 24, 16, 20, 31, 33, 36, 15, 27, 17, 27, 31, 3, 10, 25, 18, 13, 13, 18, 18, 11, 9, 34, 27, 12, 18, 29, 8, 6, 44, 36, 27, 8, 19, 17, 23, 17, 22, 9, 9, 36, 25, 27, 29, 15, 4, 23, 43, 14, 25, 38, 27, 17, 15, 17, 22]}",False
Gomti Nagar,7,"{'Restaurant Cell': (20, 27), 'Customer Cell': (30, 1), 'Preparation Time (mins)': 9, 'Expected Delivery Time (mins)': 52, 'Distance to Depot': 15, 'Distance to Restaurants': [30, 39, 37, 32, 21, 19, 31, 13, 31, 37, 19, 8, 23, 16, 28, 8, 29, 22, 23, 26, 18, 26, 21, 32, 33, 14, 23, 7, 20, 24, 14, 16, 23, 21, 13, 7, 31, 15, 14, 16, 28, 27, 19, 11, 22, 16, 27, 28, 12, 9, 20, 14, 28, 19, 24, 17, 16, 12, 17, 14, 28, 8, 19, 27, 19, 41, 24, 27, 18, 7, 37, 17, 22, 23, 15, 14, 15, 7, 5, 19, 15, 30, 13, 10, 3, 33, 13, 22, 21, 10, 24, 24, 31, 36, 8, 24, 33, 13, 24, 16, 20, 31, 33, 36, 15, 27, 17, 27, 31, 3, 10, 25, 18, 13, 13, 18, 18, 11, 9, 34, 27, 12, 18, 29, 8, 6, 44, 36, 27, 8, 19, 17, 23, 17, 22, 9, 9, 36, 25, 27, 29, 15, 4, 23, 43, 14, 25, 38, 27, 17, 15, 17, 22]}",Reject,-1.5,"{'Restaurant Cell': (20, 27), 'Customer Cell': (30, 1), 'Preparation Time (mins)': 9, 'Expected Delivery Time (mins)': 52, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",False
Gomti Nagar,8,"{'Restaurant Cell': (1, 22), 'Customer Cell': (21, 7), 'Preparation Time (mins)': 9, 'Expected Delivery Time (mins)': 60, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",Reject,-1.6,"{'Restaurant Cell': (1, 22), 'Customer Cell': (21, 7), 'Preparation Time (mins)': 9, 'Expected Delivery Time (mins)': 60, 'Distance to Depot': 16, 'Distance to Restaurants': [17, 38, 36, 5, 34, 30, 34, 22, 0, 36, 16, 37, 12, 21, 27, 39, 2, 21, 22, 27, 13, 25, 10, 9, 32, 23, 8, 26, 19, 21, 17, 15, 16, 10, 20, 24, 30, 40, 43, 15, 27, 6, 18, 34, 19, 47, 26, 27, 43, 32, 27, 45, 13, 12, 7, 16, 17, 19, 20, 45, 29, 23, 40, 26, 38, 10, 25, 24, 19, 36, 8, 14, 11, 22, 38, 27, 22, 30, 36, 12, 16, 3, 34, 25, 34, 32, 40, 21, 18, 23, 35, 33, 16, 17, 23, 7, 32, 42, 39, 17, 31, 30, 12, 35, 16, 26, 14, 26, 30, 34, 33, 14, 35, 18, 44, 13, 37, 42, 40, 33, 20, 27, 13, 2, 25, 29, 43, 19, 4, 29, 20, 14, 28, 48, 21, 22, 22, 15, 32, 6, 6, 16, 27, 18, 42, 41, 36, 13, 26, 22, 16, 16, 41]}",False
Gomti Nagar,9,"{'Restaurant Cell': (27, 19), 'Customer Cell': (31, 17), 'Preparation Time (mins)': 8, 'Expected Delivery Time (mins)': 18, 'Distance to Depot': 16, 'Distance to Restaurants': [17, 38, 36, 5, 34, 30, 34, 22, 0, 36, 16, 37, 12, 21, 27, 39, 2, 21, 22, 27, 13, 25, 10, 9, 32, 23, 8, 26, 19, 21, 17, 15, 16, 10, 20, 24, 30, 40, 43, 15, 27, 6, 18, 34, 19, 47, 26, 27, 43, 32, 27, 45, 13, 12, 7, 16, 17, 19, 20, 45, 29, 23, 40, 26, 38, 10, 25, 24, 19, 36, 8, 14, 11, 22, 38, 27, 22, 30, 36, 12, 16, 3, 34, 25, 34, 32, 40, 21, 18, 23, 35, 33, 16, 17, 23, 7, 32, 42, 39, 17, 31, 30, 12, 35, 16, 26, 14, 26, 30, 34, 33, 14, 35, 18, 44, 13, 37, 42, 40, 33, 20, 27, 13, 2, 25, 29, 43, 19, 4, 29, 20, 14, 28, 48, 21, 22, 22, 15, 32, 6, 6, 16, 27, 18, 42, 41, 36, 13, 26, 22, 16, 16, 41]}",Accept,27.0,"{'Restaurant Cell': (27, 19), 'Customer Cell': (31, 17), 'Preparation Time (mins)': 8, 'Expected Delivery Time (mins)': 18, 'Distance to Depot': 18, 'Distance to Restaurants': [21, 42, 40, 9, 28, 24, 34, 16, 6, 40, 20, 31, 16, 19, 31, 33, 4, 25, 26, 29, 7, 29, 14, 13, 36, 17, 4, 20, 23, 25, 11, 9, 20, 12, 14, 18, 34, 34, 37, 9, 31, 2, 22, 28, 23, 41, 30, 31, 37, 26, 23, 39, 17, 8, 9, 20, 13, 13, 20, 39, 31, 17, 34, 30, 32, 16, 27, 28, 15, 30, 12, 14, 15, 26, 32, 21, 18, 24, 30, 6, 14, 5, 28, 19, 28, 36, 34, 25, 22, 17, 29, 27, 20, 21, 17, 1, 36, 36, 33, 13, 25, 34, 16, 39, 18, 30, 8, 30, 34, 28, 27, 18, 29, 12, 38, 17, 31, 36, 34, 37, 24, 21, 15, 4, 19, 23, 47, 23, 4, 23, 22, 10, 26, 42, 25, 16, 16, 19, 28, 10, 10, 10, 21, 22, 46, 35, 30, 17, 30, 20, 12, 12, 35]}",False
Gomti Nagar,10,"{'Restaurant Cell': (15, 3), 'Customer Cell': (25, 19), 'Preparation Time (mins)': 13, 'Expected Delivery Time (mins)': 62, 'Distance to Depot': 18, 'Distance to Restaurants': [21, 42, 40, 9, 28, 24, 34, 16, 6, 40, 20, 31, 16, 19, 31, 33, 4, 25, 26, 29, 7, 29, 14, 13, 36, 17, 4, 20, 23, 25, 11, 9, 20, 12, 14, 18, 34, 34, 37, 9, 31, 2, 22, 28, 23, 41, 30, 31, 37, 26, 23, 39, 17, 8, 9, 20, 13, 13, 20, 39, 31, 17, 34, 30, 32, 16, 27, 28, 15, 30, 12, 14, 15, 26, 32, 21, 18, 24, 30, 6, 14, 5, 28, 19, 28, 36, 34, 25, 22, 17, 29, 27, 20, 21, 17, 1, 36, 36, 33, 13, 25, 34, 16, 39, 18, 30, 8, 30, 34, 28, 27, 18, 29, 12, 38, 17, 31, 36, 34, 37, 24, 21, 15, 4, 19, 23, 47, 23, 4, 23, 22, 10, 26, 42, 25, 16, 16, 19, 28, 10, 10, 10, 21, 22, 46, 35, 30, 17, 30, 20, 12, 12, 35]}",Reject,-1.8,"{'Restaurant Cell': (15, 3), 'Customer Cell': (25, 19), 'Preparation Time (mins)': 13, 'Expected Delivery Time (mins)': 62, 'Distance to Depot': 0, 'Distance to Restaurants': [15, 24, 22, 17, 18, 14, 18, 28, 16, 22, 4, 21, 8, 5, 13, 23, 16, 7, 8, 11, 13, 11, 6, 17, 18, 7, 14, 22, 5, 9, 15, 15, 8, 6, 28, 16, 16, 24, 27, 19, 13, 20, 4, 18, 7, 31, 12, 13, 27, 16, 11, 29, 13, 10, 9, 2, 31, 19, 4, 29, 13, 19, 24, 12, 22, 26, 9, 12, 33, 20, 22, 4, 7, 8, 22, 11, 6, 22, 20, 16, 4, 17, 18, 9, 18, 18, 24, 7, 6, 25, 19, 17, 16, 21, 7, 17, 18, 26, 23, 31, 15, 16, 18, 21, 0, 12, 20, 12, 16, 18, 17, 10, 19, 10, 28, 3, 21, 26, 24, 19, 12, 11, 3, 14, 23, 21, 29, 21, 14, 23, 4, 28, 12, 32, 7, 24, 14, 21, 16, 12, 14, 28, 17, 8, 28, 25, 20, 23, 12, 6, 30, 30, 25]}",False
